state,year,barrels,type
NV,2011,1790.02,Bottles and Cans
NV,2012,3647.33,Bottles and Cans
NV,2013,4561.27,Bottles and Cans
NV,2014,6322.08,Bottles and Cans
NV,2015,6091,Bottles and Cans
NV,2016,6477.36,Bottles and Cans
NV,2017,8418.87,Bottles and Cans
NV,2018,12241.81,Bottles and Cans
NV,2019,17351.27,Bottles and Cans
NY,2008,6997372.81,Bottles and Cans
NY,2009,6307846.95,Bottles and Cans
NY,2010,6376824.8,Bottles and Cans
NY,2011,5779655.18,Bottles and Cans
NY,2012,6832275.59,Bottles and Cans
NY,2013,7166945.25,Bottles and Cans
NY,2014,6749799.4,Bottles and Cans
NY,2015,7218516.11,Bottles and Cans
NY,2016,7555530.53,Bottles and Cans
NY,2017,7507875.58,Bottles and Cans
NY,2018,7428652.03,Bottles and Cans
NY,2019,7720584.9,Bottles and Cans
OH,2008,18015059.22,Bottles and Cans
OH,2009,17920640.25,Bottles and Cans
OH,2010,18272288.93,Bottles and Cans
OH,2011,18312552.08,Bottles and Cans
OH,2012,17318045.77,Bottles and Cans
OH,2013,16646929.63,Bottles and Cans
OH,2014,17044931.31,Bottles and Cans
OH,2015,18060472.31,Bottles and Cans
OH,2016,18130886.35,Bottles and Cans
OH,2017,17733218.04,Bottles and Cans
OH,2018,16201555.3,Bottles and Cans
OH,2019,16176334.47,Bottles and Cans
OK,2008,1186.99,Bottles and Cans
OK,2009,2284.47,Bottles and Cans
OK,2010,2937.63,Bottles and Cans
OK,2011,3593.6,Bottles and Cans
OK,2012,3706.66,Bottles and Cans
OK,2013,3141.24,Bottles and Cans
OK,2014,5620.53,Bottles and Cans
OK,2015,6990.95,Bottles and Cans
OK,2016,8597.36,Bottles and Cans
OK,2017,8032.06,Bottles and Cans
OK,2018,183.59,Bottles and Cans
OK,2019,589.29,Bottles and Cans
OR,2008,524814.27,Bottles and Cans
OR,2009,581456.86,Bottles and Cans
OR,2010,659065.27,Bottles and Cans
OR,2011,772698.31,Bottles and Cans
OR,2012,848065.57,Bottles and Cans
OR,2013,937521.77,Bottles and Cans
OR,2014,1036589.35,Bottles and Cans
OR,2015,1089613.2,Bottles and Cans
OR,2016,1124515.37,Bottles and Cans
OR,2017,1019538.32,Bottles and Cans
OR,2018,990592.29,Bottles and Cans
OR,2019,970083.59,Bottles and Cans
PA,2008,2238872.56,Bottles and Cans
PA,2009,2262763.16,Bottles and Cans
PA,2010,2685440.45,Bottles and Cans
PA,2011,3128166.8,Bottles and Cans
PA,2012,3411033.49,Bottles and Cans
PA,2013,4005887.4,Bottles and Cans
PA,2014,4246712.36,Bottles and Cans
PA,2015,4140992.46,Bottles and Cans
PA,2016,3853670.66,Bottles and Cans
PA,2017,3637399.93,Bottles and Cans
PA,2018,4126266.57,Bottles and Cans
PA,2019,5175879.25,Bottles and Cans
RI,2008,78,Bottles and Cans
RI,2009,76,Bottles and Cans
RI,2010,1613,Bottles and Cans
RI,2011,1692,Bottles and Cans
RI,2012,2021.32,Bottles and Cans
RI,2013,4181.58,Bottles and Cans
RI,2014,4949.18,Bottles and Cans
RI,2015,5592.76,Bottles and Cans
RI,2016,6646.02,Bottles and Cans
RI,2017,16985.26,Bottles and Cans
RI,2018,32268.25,Bottles and Cans
RI,2019,42190.46,Bottles and Cans
SC,2008,3475.55,Bottles and Cans
SC,2009,4733.84,Bottles and Cans
SC,2010,6346.93,Bottles and Cans
SC,2011,10771.16,Bottles and Cans
SC,2012,12903.66,Bottles and Cans
SC,2013,17725.52,Bottles and Cans
SC,2014,21211.65,Bottles and Cans
SC,2015,24319.79,Bottles and Cans
SC,2016,20753.29,Bottles and Cans
SC,2017,20894.82,Bottles and Cans
SC,2018,19482.87,Bottles and Cans
SC,2019,17600.06,Bottles and Cans
SD,2008,0,Bottles and Cans
SD,2009,0,Bottles and Cans
