state,year,barrels,type
VA,2016,1253898.31,Kegs and Barrels
VA,2017,1463360.4,Kegs and Barrels
VA,2018,1272328.62,Kegs and Barrels
VA,2019,1186030.99,Kegs and Barrels
VT,2008,70621.02,Kegs and Barrels
VT,2009,86533.33,Kegs and Barrels
VT,2010,105473.36,Kegs and Barrels
VT,2011,91368.48,Kegs and Barrels
VT,2012,98154.92,Kegs and Barrels
VT,2013,98852.28,Kegs and Barrels
VT,2014,93531.96,Kegs and Barrels
VT,2015,89387.18,Kegs and Barrels
VT,2016,68330.18,Kegs and Barrels
VT,2017,64791.32,Kegs and Barrels
VT,2018,66620.54,Kegs and Barrels
VT,2019,69498.8,Kegs and Barrels
WA,2008,165425.08,Kegs and Barrels
WA,2009,155111.48,Kegs and Barrels
WA,2010,195436.87,Kegs and Barrels
WA,2011,218671.75,Kegs and Barrels
WA,2012,240103.86,Kegs and Barrels
WA,2013,274558.65,Kegs and Barrels
WA,2014,297547.82,Kegs and Barrels
WA,2015,291509.7,Kegs and Barrels
WA,2016,251896.07,Kegs and Barrels
WA,2017,222188.23,Kegs and Barrels
WA,2018,222168.19,Kegs and Barrels
WA,2019,208289.99,Kegs and Barrels
WI,2008,1039757.77,Kegs and Barrels
WI,2009,1191461.86,Kegs and Barrels
WI,2010,1130525.73,Kegs and Barrels
WI,2011,981225.81,Kegs and Barrels
WI,2012,1038914.37,Kegs and Barrels
WI,2013,1071651.35,Kegs and Barrels
WI,2014,1066520.15,Kegs and Barrels
WI,2015,937817.99,Kegs and Barrels
WI,2016,1010565.53,Kegs and Barrels
WI,2017,1093376.11,Kegs and Barrels
WI,2018,1047608.3,Kegs and Barrels
WI,2019,799948.2,Kegs and Barrels
WV,2008,1655.04,Kegs and Barrels
WV,2009,1725.47,Kegs and Barrels
WV,2010,2582.42,Kegs and Barrels
WV,2011,3264.98,Kegs and Barrels
WV,2012,3701.81,Kegs and Barrels
WV,2013,4525.59,Kegs and Barrels
WV,2014,5160.63,Kegs and Barrels
WV,2015,6640.44,Kegs and Barrels
WV,2016,3835.3,Kegs and Barrels
WV,2017,3564.32,Kegs and Barrels
WV,2018,3278.68,Kegs and Barrels
WV,2019,4017.18,Kegs and Barrels
WY,2008,2989.71,Kegs and Barrels
WY,2009,2489.98,Kegs and Barrels
WY,2010,3852.33,Kegs and Barrels
WY,2011,5055.71,Kegs and Barrels
WY,2012,5752.17,Kegs and Barrels
WY,2013,7216.88,Kegs and Barrels
WY,2014,8379.14,Kegs and Barrels
WY,2015,9671.7,Kegs and Barrels
WY,2016,8328.08,Kegs and Barrels
WY,2017,8312.15,Kegs and Barrels
WY,2018,16731.39,Kegs and Barrels
WY,2019,18726.19,Kegs and Barrels
total,2008,17285670.24,Kegs and Barrels
total,2009,17461286.16,Kegs and Barrels
total,2010,17725898.72,Kegs and Barrels
total,2011,17817251.15,Kegs and Barrels
total,2012,18157777.56,Kegs and Barrels
total,2013,18097967.51,Kegs and Barrels
total,2014,18176128.25,Kegs and Barrels
total,2015,17750504.62,Kegs and Barrels
total,2016,17000382.28,Kegs and Barrels
total,2017,16514866.69,Kegs and Barrels
total,2018,15662381.42,Kegs and Barrels
total,2019,14880067.09,Kegs and Barrels
